similarity,combination
2,['ERC223.sol', 'ERC223Receiver.sol', 'Token223.sol']
2,['ERC223.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
4,['ERC223.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
3,['ERC223.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
4,['ERC223.sol', 'BasicToken.sol', 'ERC20.sol']
3,['ERC223.sol', 'BasicToken.sol', 'Token223.sol']
3,['ERC223.sol', 'ERC20.sol', 'Token223.sol']
7,['LinkToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
6,['LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
5,['LinkToken.sol', 'ERC223Receiver.sol', 'ERC20.sol']
4,['LinkToken.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['LinkToken.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
6,['LinkToken.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
4,['LinkToken.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
5,['LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
3,['LinkToken.sol', 'BasicToken.sol', 'Token223.sol']
3,['LinkToken.sol', 'ERC20.sol', 'Token223.sol']
6,['ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
3,['ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
3,['ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
4,['ERC223Receiver.sol', 'BasicToken.sol', 'ERC20.sol']
3,['ERC223Receiver.sol', 'BasicToken.sol', 'Token223.sol']
6,['ERC223Receiver.sol', 'ERC20.sol', 'Token223.sol']
4,['Token223ReceiverMock.sol', 'BasicToken.sol', 'ERC20.sol']
3,['Token223ReceiverMock.sol', 'BasicToken.sol', 'Token223.sol']
4,['Token223ReceiverMock.sol', 'ERC20.sol', 'Token223.sol']
6,['BasicToken.sol', 'ERC20.sol', 'Token223.sol']
