similarity,combination
8,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol', 'Token677.sol']
11,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'Token677.sol']
6,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'Token677.sol', 'ERC20.sol']
23,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
23,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
28,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
23,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
22,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
19,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
30,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
29,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
35,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'Token677.sol']
24,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC677Receiver.sol', 'ERC20.sol']
19,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
42,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
18,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol', 'Token677.sol']
22,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
34,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
24,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'BasicToken.sol', 'Token677.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'Token677.sol', 'ERC20.sol']
