similarity,combination
7,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677.sol']
41,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'flattened.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Migrations.sol', 'linkBasicToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Migrations.sol', 'ERC677Receiver.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Migrations.sol', 'linkERC20Basic.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Migrations.sol', 'LinkToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Migrations.sol', 'linkStandardToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Migrations.sol', 'Token677.sol']
40,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Migrations.sol', 'flattened.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
27,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
34,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol', 'flattened.sol']
2,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'linkBasicToken.sol', 'LinkToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol', 'linkBasicToken.sol', 'Token677.sol']
