similarity,combination
2,['IToken.sol', 'DummyMock.sol', 'Sale.sol']
5,['IToken.sol', 'DummyMock.sol', 'Ledger.sol']
1,['IToken.sol', 'LedgerMock.sol', 'Finalizable.sol']
1,['IToken.sol', 'LedgerMock.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'LedgerMock.sol', 'TokenMock.sol']
2,['IToken.sol', 'LedgerMock.sol', 'Savings.sol']
0,['IToken.sol', 'LedgerMock.sol', 'DummyToken.sol']
1,['IToken.sol', 'LedgerMock.sol', 'Sale.sol']
5,['IToken.sol', 'LedgerMock.sol', 'Ledger.sol']
1,['IToken.sol', 'Finalizable.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'Finalizable.sol', 'TokenMock.sol']
2,['IToken.sol', 'Finalizable.sol', 'Savings.sol']
0,['IToken.sol', 'Finalizable.sol', 'DummyToken.sol']
1,['IToken.sol', 'Finalizable.sol', 'Sale.sol']
5,['IToken.sol', 'Finalizable.sol', 'Ledger.sol']
1,['IToken.sol', 'EventDefinitions.sol', 'TokenMock.sol']
3,['IToken.sol', 'EventDefinitions.sol', 'Savings.sol']
1,['IToken.sol', 'EventDefinitions.sol', 'DummyToken.sol']
1,['IToken.sol', 'EventDefinitions.sol', 'Sale.sol']
5,['IToken.sol', 'EventDefinitions.sol', 'Ledger.sol']
2,['IToken.sol', 'TokenMock.sol', 'Savings.sol']
0,['IToken.sol', 'TokenMock.sol', 'DummyToken.sol']
1,['IToken.sol', 'TokenMock.sol', 'Sale.sol']
5,['IToken.sol', 'TokenMock.sol', 'Ledger.sol']
3,['IToken.sol', 'Savings.sol', 'DummyToken.sol']
3,['IToken.sol', 'Savings.sol', 'Sale.sol']
6,['IToken.sol', 'Savings.sol', 'Ledger.sol']
1,['IToken.sol', 'DummyToken.sol', 'Sale.sol']
4,['IToken.sol', 'DummyToken.sol', 'Ledger.sol']
5,['IToken.sol', 'Sale.sol', 'Ledger.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol']
4,['ControllerEventDefinitions.sol', 'Controller.sol', 'Migrations.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Receiver.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'TokenReceivable.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'ControllerMock.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'SafeMath.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'DummyMock.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'LedgerMock.sol']
6,['ControllerEventDefinitions.sol', 'Controller.sol', 'Finalizable.sol']
4,['ControllerEventDefinitions.sol', 'Controller.sol', 'EventDefinitions.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'TokenMock.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol', 'Savings.sol']
3,['ControllerEventDefinitions.sol', 'Controller.sol', 'DummyToken.sol']
4,['ControllerEventDefinitions.sol', 'Controller.sol', 'Sale.sol']
10,['ControllerEventDefinitions.sol', 'Controller.sol', 'Ledger.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Token.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Migrations.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Receiver.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'TokenReceivable.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'ControllerMock.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'SafeMath.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'DummyMock.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'LedgerMock.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Finalizable.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'EventDefinitions.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'TokenMock.sol']
3,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Savings.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'DummyToken.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Sale.sol']
5,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Ledger.sol']
1,['ControllerEventDefinitions.sol', 'Owned.sol', 'Token.sol']
1,['ControllerEventDefinitions.sol', 'Owned.sol', 'Migrations.sol']
1,['ControllerEventDefinitions.sol', 'Owned.sol', 'Receiver.sol']
1,['ControllerEventDefinitions.sol', 'Owned.sol', 'TokenReceivable.sol']
1,['ControllerEventDefinitions.sol', 'Owned.sol', 'ControllerMock.sol']
1,['ControllerEventDefinitions.sol', 'Owned.sol', 'SafeMath.sol']
1,['ControllerEventDefinitions.sol', 'Owned.sol', 'DummyMock.sol']
1,['ControllerEventDefinitions.sol', 'Owned.sol', 'LedgerMock.sol']
