similarity,combination
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicToken.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'TokenSale.sol']
4,['SafeMath.sol', 'Standard223Token.sol', 'ERC20.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'Standard223TokenReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'SmartOracle.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicToken.sol']
9,['SafeMath.sol', 'LinkReceiver.sol', 'TokenSale.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20.sol']
0,['SafeMath.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverMock.sol']
6,['SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol']
3,['SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardTokenMock.sol']
3,['SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverTest.sol', 'ERC223.sol']
