similarity,combination
1,['SmartOracle.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
9,['SmartOracle.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
5,['SmartOracle.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
6,['SmartOracle.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
5,['SmartOracle.sol', 'StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
10,['SmartOracle.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
4,['SmartOracle.sol', 'StandardToken.sol', 'LinkToken.sol', 'TokenSale.sol']
9,['SmartOracle.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
9,['SmartOracle.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
7,['SmartOracle.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
8,['SmartOracle.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
5,['SmartOracle.sol', 'LinkToken.sol', 'BasicToken.sol', 'TokenSale.sol']
12,['SmartOracle.sol', 'LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
5,['SmartOracle.sol', 'LinkToken.sol', 'TokenSale.sol', 'ERC20.sol']
9,['SmartOracle.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
16,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
14,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
5,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
16,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
21,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
11,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
14,['ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
10,['ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
9,['ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
15,['ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
21,['ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
11,['ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
13,['ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
10,['ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
9,['ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
7,['ERC20Basic.sol', 'StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
20,['ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol', 'TokenSale.sol']
